id	filename	md5	size	state	acl	project_id	category
0052fdbd-9577-4847-8634-5966647a59a4	0ad35217-f24f-4102-bc5c-53304a54154c.rna_seq.star_splice_junctions.tsv.gz	bb3679a6c565d1c9b64b087c31f8888d	1101391	released	[b'phs002029']	MATCH-R	data_file
00ba07a2-4fbd-41d7-b610-9131195d65df	49f6ffe1-3af9-4da7-a646-db0231636623.wxs.GATK4_MuTect2.aliquot.maf.gz	220416065c5206bda109d41d0f96617b	17750059	released	[b'phs002029']	MATCH-R	data_file
8959e6f2-6311-49bd-b923-794d7b44ba5e	MATCH_R.e650f06b-567c-4ac3-8a3d-86e861e04d42.wxs.VarScan2.somatic_annotation.vcf.gz.tbi	4e8cdf203fd20ecca97c0fc9136f3fb3	12040	released	[b'phs002029']	MATCH-R	index_file
00c7fa4a-979b-4415-b7c4-a41e5a1adad6	MATCH_R.e650f06b-567c-4ac3-8a3d-86e861e04d42.wxs.VarScan2.somatic_annotation.vcf.gz	a035a968010d905c1ea8bb902c6767ac	256516	released	[b'phs002029']	MATCH-R	data_file
3d8c7672-e6b5-46f9-a3fc-7e6263f7d9b8	MATCH_R.871b6ac2-5780-46fc-bb18-939538097396.wxs.Pindel.somatic_annotation.vcf.gz.tbi	b9eb19a8cfbc7aa32c76a638772ae0d6	7213	released	[b'phs002029']	MATCH-R	index_file
01146298-732c-471c-b704-37efd8a86de9	MATCH_R.871b6ac2-5780-46fc-bb18-939538097396.wxs.Pindel.somatic_annotation.vcf.gz	33bf6e80d07f6c9841d9da64556a38a2	252451	released	[b'phs002029']	MATCH-R	data_file
01d313a3-f9b5-4932-b528-5ead68d354d5	MATCH-R.c613ad46-77ab-4744-88cd-15e7769d5297.arriba.rna_fusion.tsv	ca81e60be58ee453eba9d2ea8ebbbd29	4191	released	[b'phs002029']	MATCH-R	data_file
01e04abc-7259-47ce-aa4d-738e06219550	MATCH-R.a8a60494-8f5a-48ce-81b7-6e1e9c49ff56.arriba.rna_fusion.bedpe	30ee80ad8c9f540b8251be3d567d3c47	750	released	[b'phs002029']	MATCH-R	data_file
02415453-7352-4502-befa-0fc01b8045ef	MATCH-R-B50A.json	d1c55d0c0bac8b71d931d2d73f7a7d55	2151	released	[b'phs002029']	MATCH-R	data_file
02558b74-4bc6-41ef-b7c0-3c73f0ed6d1a	f6af2126-d889-4080-8f4d-60b9e7b27784.wxs.Pindel.aliquot.maf.gz	f5dde170e7505a3383660fb2d06e5047	56518	released	[b'phs002029']	MATCH-R	data_file
2c46b80b-e24b-4360-8c77-9f4691bdd59d	MATCH_R.a4792c6e-5ae8-4514-8fdd-9aad51c278d6.wxs.MuTect2.somatic_annotation.vcf.gz.tbi	bffc877b13803eebcce5ec6e2d495ffa	74817	released	[b'phs002029']	MATCH-R	index_file
02902e32-1cad-43e8-ab9c-576fc75f5660	MATCH_R.a4792c6e-5ae8-4514-8fdd-9aad51c278d6.wxs.MuTect2.somatic_annotation.vcf.gz	453a35d26f786fa398b186a6bfa12579	3549772	released	[b'phs002029']	MATCH-R	data_file
593d590d-56d6-4da8-b95f-f617f1274031	2261e9df-7264-41fa-aa87-668548876875_wxs_gdc_realn.bai	fb98b125813960274feb0fb83e7c55b5	6715960	released	[b'phs002029']	MATCH-R	index_file
02b1708d-3581-4edf-aa42-751af5c94560	2261e9df-7264-41fa-aa87-668548876875_wxs_gdc_realn.bam	c32f3b5fbc0d312baab0eeb1e020deb0	35706517456	released	[b'phs002029']	MATCH-R	data_file
b0a1ef68-c2cd-4d50-988a-f397a9f05c36	MATCH_R.5918424f-6758-44bb-8b66-6935307cbb1a.wxs.MuSE.somatic_annotation.vcf.gz.tbi	babf0640573b5aafeb924495d8af59e9	20743	released	[b'phs002029']	MATCH-R	index_file
02d4548a-e336-4a07-a378-4f713f722491	MATCH_R.5918424f-6758-44bb-8b66-6935307cbb1a.wxs.MuSE.somatic_annotation.vcf.gz	9b25008a276607172f8864d121b570c0	488324	released	[b'phs002029']	MATCH-R	data_file
02e869c7-e1f5-4932-b417-3a2100119987	a1860e50-d9ef-4e03-8f3f-d569e82ebf9b.wxs.MuSE.aliquot.maf.gz	72c395704e54c5b92a16b314b44d7460	178265	released	[b'phs002029']	MATCH-R	data_file
030eac59-9cc4-43be-8746-3e6294485f55	MATCH-R.d832e2c1-8be0-4afb-9ba1-4c3aaafc3de0.star_fusion.rna_fusion.bedpe	6e5690795ff424264402ab9d2661b62b	229	released	[b'phs002029']	MATCH-R	data_file
03fc0058-95c6-4929-baa2-678fd7183454	d8625d84-0302-44e8-948b-adda63fd6b31.wxs.aliquot_ensemble_masked.maf.gz	05bc728cc1dc5465d364c93d75aa0654	31584	released	[b'phs002029']	MATCH-R	data_file
1e188e80-bcd6-49bb-823d-810eb27735fc	37af94d6-0277-46ab-bf1f-c4bbc4424a3f.wxs.pindel.raw_somatic_mutation.vcf.gz.tbi	fc35aa7d09c29235e59635adaa55efff	6121	released	[b'phs002029']	MATCH-R	index_file
041876ed-a2db-4032-a461-967c4a12d262	37af94d6-0277-46ab-bf1f-c4bbc4424a3f.wxs.pindel.raw_somatic_mutation.vcf.gz	4e9b080ee504316874653f0d9b9c616e	149300	released	[b'phs002029']	MATCH-R	data_file
