id	filename	md5	size	state	acl	project_id	category
0018d514-f6ce-4a20-9c4f-6d91316a41fc	TCGA-PCPG.2fb2ee8c-707c-43db-a522-1da9531e3fff.arriba.rna_fusion.tsv	aefacc690b97170aa7f19bcdf08d6d2b	2361	released	[b'phs000178']	TCGA-PCPG	data_file
001e6d94-f76d-4a6b-b1e4-b39e99ef630b	9bfa8bda-d0d9-4f97-b04c-00db0248943b.wxs.Pindel.aliquot.maf.gz	c4eed557126902f7377ce03efe7c6bd0	183363	released	[b'phs000178']	TCGA-PCPG	data_file
002448a3-4ec4-4f6f-a966-c558c314c1cc	d592815e-2f45-4931-ab22-483a1d128b5f.somatic.SV.bedpe	20c2ffe35b807c71a42286a5f377a04d	96057	released	[b'phs000178']	TCGA-PCPG	data_file
00276b45-e3fb-478c-81e0-3420edd557a4	nationwidechildrens.org_clinical.TCGA-P7-A5NY.xml	c3a2a544cf22ba3725c453bf7c77b5a2	21264	released	[b'open']	TCGA-PCPG	data_file
0028d0cd-3836-43c7-9c2d-2d865c3e2901	FORUM_p_TCGAb_366_P02_NSP_GenomeWideSNP_6_G11_1390900.nocnv_grch38.seg.v2.txt	07460077d4f215d73c7f5be8a6d02ce3	4030	released	[b'open']	TCGA-PCPG	data_file
00294364-6e8a-4216-aad6-3f603868e1d2	075a68c8-3794-4dd5-af19-60af2386afd4.wgs.ASCAT.copy_number_variation.seg.txt	a3b5b8c93fb72fa454f1a8da8f4cb797	5791	released	[b'open']	TCGA-PCPG	data_file
002a0b45-8617-4197-aea8-0d3651fc162b	TCGA-PCPG.fc8888bf-2e19-43d3-989f-b181918693a4.gene_level_copy_number.v36.tsv	316c9c1fecab7f70baf042e0103e0ea3	3446832	released	[b'open']	TCGA-PCPG	data_file
002ff0fc-659b-40dd-9b7a-af5565e751dd	BINGE_p_TCGAb_366_P01_NSP_GenomeWideSNP_6_G08_1391180.nocnv_grch38.seg.v2.txt	b339c09f659e78cd8911b287012cb24e	3474	released	[b'open']	TCGA-PCPG	data_file
9bce40dd-a4d1-4460-af28-73520a0752bb	TCGA_PCPG.8146a683-a7db-49dd-b19f-bdea048e9186.wxs.VarScan2.somatic_annotation.vcf.gz.tbi	30f8308fb09d10640b979bd84e544e56	5917	released	[b'phs000178']	TCGA-PCPG	index_file
0039fe42-1b66-4196-95b5-39ee567175e4	TCGA_PCPG.8146a683-a7db-49dd-b19f-bdea048e9186.wxs.VarScan2.somatic_annotation.vcf.gz	74016253c30bfafc47baea35cb46a887	67597	released	[b'phs000178']	TCGA-PCPG	data_file
00470921-9fe0-4659-a2eb-e8afcbe91c90	336cff97-f2c2-476a-be5c-3fcce7aa9594.wxs.MuSE.aliquot.maf.gz	74be3bced833860968811e7b291e43a0	46394	released	[b'phs000178']	TCGA-PCPG	data_file
0052c14d-ce3f-4d9d-9ad0-4178ff20b5e7	SABOT_p_TCGAb_366_P03_NSP_GenomeWideSNP_6_G03_1390678.nocnv_grch38.seg.v2.txt	1fbbad868b34cb6a82b02b4780db4ff4	8067	released	[b'open']	TCGA-PCPG	data_file
00572e39-2524-4426-add4-211f163827b4	08d1311e-9919-4abf-9118-a779727106a3.wgs.BRASS.rerun_structural_variation.bedpe.gz	00341a0c493667a1eb3e39ae5e56ec41	19565	released	[b'phs000178']	TCGA-PCPG	data_file
f41fb7bc-5462-4204-b4c2-98899724aa5c	TCGA_PCPG.fe001fdd-f820-42c6-b987-4b087851c74d.wxs.VarScan2.somatic_annotation.vcf.gz.tbi	c38d2a7a7d3958e56e54233a5663b423	5899	released	[b'phs000178']	TCGA-PCPG	index_file
