id	filename	md5	size	state	acl	project_id	category
00cfd97c-b6c5-44eb-86ed-45d572d06757	TARGET-CCSK.bd8fea7d-6a51-5165-893e-4b5669603c0a.gene_level_copy_number.v36.tsv	a9c0092e5a7b6036976467c2ca0f4546	3446751	released	[b'open']	TARGET-CCSK	data_file
034f118e-3d04-4b0c-8f3a-2768c63a4cad	TARGET-51-PAJMFS-11A-01D.CEL	a1f27092ac174601de6508718ff54606	69095606	released	[b'phs000218', b'phs000466']	TARGET-CCSK	data_file
042481a9-41eb-4490-b948-1640ed9c3643	0583d75f-8eaf-49fb-a74b-33e36040063f.rna_seq.transcriptome.gdc_realn.bam	39b39cca5eb6e90800948213cff8e8f0	25962975329	released	[b'phs000218', b'phs000466']	TARGET-CCSK	data_file
de1370d1-b0b0-4a41-8532-0ae7e1769bcc	e5464cf4-8a28-4ff1-89ab-0f07b737b21b.gdc_liftover.vcf.gz.tbi	10f12ff1274b9c4cdca54832f43e6530	1789599	released	[b'phs000218', b'phs000466']	TARGET-CCSK	index_file
09b1d762-29a1-4a94-ad73-3bd888b12356	e5464cf4-8a28-4ff1-89ab-0f07b737b21b.gdc_liftover.vcf.gz	706ef00d9077f087191330e4a8faae2d	363479149	released	[b'phs000218', b'phs000466']	TARGET-CCSK	data_file
0a0d2ba3-42ea-41a0-a74b-dc5a8a39022f	TARGET_CCSK_ClinicalData_Discovery_20230322.xlsx	18c88e7a0ba48fac324a9fbce3ed33bc	14111	released	[b'open']	TARGET-CCSK	data_file
0a35a476-51d3-4c27-8c6b-197c3675790a	TARGET-51-PAEALX-01A-01D.CEL	b824c922b3c3f9ece0de2e99ed38e888	69083662	released	[b'phs000218', b'phs000466']	TARGET-CCSK	data_file
0b61a5b0-ac09-4199-98ec-86a667b4cd62	TARGET-CCSK.a767e926-0340-4151-86c3-bcf98fb41508.star_fusion.rna_fusion.bedpe	6e5690795ff424264402ab9d2661b62b	229	released	[b'phs000218', b'phs000466']	TARGET-CCSK	data_file
0c24dfc2-386a-4e52-87d8-233a5e84d1c4	TARGET-CCSK.5f83d321-cfd6-5de1-8177-fda25ef4719a.ascat2.allelic_specific.seg.txt	8aaa3eaeebeef776b3aceaa2093e57d4	14369	released	[b'open']	TARGET-CCSK	data_file
ee9ca4c2-ff66-4796-8660-962e5846796a	a153b25a-e822-421c-b847-0862d0e180d0.rna_seq.genomic.gdc_realn.bam.bai	cd7829e8593d7635210c7bfda72a8eee	7540672	released	[b'phs000218', b'phs000466']	TARGET-CCSK	index_file
10580057-d71d-4eb7-be42-b27f2219717a	a153b25a-e822-421c-b847-0862d0e180d0.rna_seq.genomic.gdc_realn.bam	ef061690f16ba8a5b93e9c39e312d0bc	18667137179	released	[b'phs000218', b'phs000466']	TARGET-CCSK	data_file
10df3653-538e-4f85-903d-4d29be33cf08	d6159f30-3397-4475-bf5a-53a3699f5afa.methylation_array.sesame.level3betas.txt	7814e36d45051067eec158d9872ec0f2	13178719	released	[b'open']	TARGET-CCSK	data_file
11fdb9d3-d88a-4594-b735-66d5771919c2	53c067b6-68ab-4ec8-9423-578d6f5bf6a2.methylation_array.sesame.level3betas.txt	e2a46b7a26ecb54c3afe5f208ff5be85	13148957	released	[b'open']	TARGET-CCSK	data_file
137d2cdc-8bcf-47ce-a06f-875044052145	TARGET-CCSK.a5a9aa0c-80d1-4830-9d71-765e80aab0c7.star_fusion.rna_fusion.bedpe	6e5690795ff424264402ab9d2661b62b	229	released	[b'phs000218', b'phs000466']	TARGET-CCSK	data_file
a065a2fb-0673-4573-ba22-1d8af1cabc15	367e7156-c77f-4fcb-b284-a05dc33c1354.rna_seq.chimeric.gdc_realn.bam.bai	ae737553bd4676bf8b80b9cc925a4cac	2641520	released	[b'phs000218', b'phs000466']	TARGET-CCSK	index_file
16aaaad0-1234-4676-b1e7-c93a7f4fe6b4	367e7156-c77f-4fcb-b284-a05dc33c1354.rna_seq.chimeric.gdc_realn.bam	1475ffe151ff2c78826e3bdbd897edf5	156320154	released	[b'phs000218', b'phs000466']	TARGET-CCSK	data_file
16b4ded5-b49d-472e-aa8e-f0e9a6c61c76	TARGET-CCSK.e62e6ae4-437c-41e9-ae66-50ed743ec2dd.star_fusion.rna_fusion.bedpe	6e5690795ff424264402ab9d2661b62b	229	released	[b'phs000218', b'phs000466']	TARGET-CCSK	data_file
f1ba607a-3cf9-46b3-bec6-fce9409e7e75	09f923c4-f81d-403a-9b4c-30a1ff9b4d08.gdc_liftover.vcf.gz.tbi	cab685ea717fec2e824d1f49b315dd36	1785258	released	[b'phs000218', b'phs000466']	TARGET-CCSK	index_file
17178044-9913-4624-87a5-7badd38484c0	09f923c4-f81d-403a-9b4c-30a1ff9b4d08.gdc_liftover.vcf.gz	488d2c67c74d6619ee01cba1d975bfc2	357938571	released	[b'phs000218', b'phs000466']	TARGET-CCSK	data_file
22d4ed8c-8a93-444d-bef1-3495bd8ea1fb	4615fc0c-8685-43bb-89f5-d225f56e7b65.rna_seq.chimeric.gdc_realn.bam.bai	647e0c21b78ecb0c1d2b54e7a584d383	2557840	released	[b'phs000218', b'phs000466']	TARGET-CCSK	index_file
1873c5fa-c984-4bea-b8b9-f9a42c8f853b	4615fc0c-8685-43bb-89f5-d225f56e7b65.rna_seq.chimeric.gdc_realn.bam	7092524a1159b42f8954216cdf736af2	144496677	released	[b'phs000218', b'phs000466']	TARGET-CCSK	data_file
